Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Rebanada 3 leches,1,1,,pcs,0,0,45,0,1,0,1,1,1,,0,,,,,
n/a,1,2,,pcs,0,0,45,0,1,0,1,1,1,,0,,,,,
Rebanada matilda,1,3,,pcs,0,0,55,0,1,0,1,1,1,,0,,,,,
Rebanada cheese cake CON FRUTOS,1,4,,pcs,0,0,55,0,1,0,1,1,1,,0,,,,,
Rebanada zanahoria,1,5,,pcs,0,0,55,0,1,0,1,1,1,,0,,,,,
Rebanada red velvet,1,6,,pcs,0,0,55,0,1,0,1,1,1,,0,,,,,
Rebanada pay de guayaba,1,7,,pcs,0,0,45,0,1,0,1,1,1,,0,,,,,
Rebanada flan,1,8,,pcs,0,0,45,0,1,0,1,1,1,,0,,,,,
Galleta,2,10,,pcs,0,0,45,0,1,0,1,1,1,,0,,,,,
Alfajores,2,11,,pcs,0,0,25,0,1,0,1,1,1,,0,,,,,
Besos de nuez,2,12,,pcs,0,0,35,0,1,0,1,1,1,,0,,,,,
Brownies,2,13,,pcs,0,0,45,0,1,0,1,1,1,,0,,,,,
Cake pop,1,14,,pcs,0,0,20,0,1,0,1,1,1,,0,,,,,
Merengues,2,15,,pcs,0,0,35,0,1,0,1,1,1,,0,,,,,
Pastel 3 leches 10 personas,1,16,,pcs,0,0,320,0,1,0,1,1,1,,0,,,,,
Pastel 3 leches 20 personas,1,17,,pcs,0,0,380,0,1,0,1,1,1,,0,,,,,
Pastel 3 leches 30 personas,1,18,,pcs,0,0,520,0,1,0,1,1,1,,0,,,,,
Pastel piñon 10 personas,1,19,,pcs,0,0,420,0,1,0,1,1,1,,0,,,,,
Pastel piñon 20 personas,1,20,,pcs,0,0,450,0,1,0,1,1,1,,0,,,,,
Pastel piñon 30 personas,1,21,,pcs,0,0,1020,0,1,0,1,1,1,,0,,,,,
Pastel pistache 10 personas,1,22,,pcs,0,0,300,0,1,0,1,1,1,,0,,,,,
Pastel pistache 20 personas,1,23,,pcs,0,0,550,0,1,0,1,1,1,,0,,,,,
Pastel pistache 30 personas,1,24,,pcs,0,0,680,0,1,0,1,1,1,,0,,,,,
Pastel selva negra 10 personas,1,25,,pcs,0,0,450,0,1,0,1,1,1,,0,,,,,
